Episode,Total Reward,Epsilon,Time (s)
852,-4.9,0.01,278.4
853,-9.0,0.01,278.5
854,-9.0,0.01,278.6
855,-8.4,0.01,278.8
856,-8.1,0.01,279.0
857,-8.0,0.01,279.2
858,-7.9,0.01,279.5
859,-8.8,0.01,279.6
860,2.3,0.01,279.9
861,-8.8,0.01,280.0
862,-8.3,0.01,280.2
863,-4.8,0.01,280.7
864,-9.0,0.01,280.9
865,-8.3,0.01,281.0
866,-7.8,0.01,281.3
867,-9.1,0.01,281.4
868,-9.1,0.01,281.5
869,-4.8,0.01,282.0
870,-9.1,0.01,282.1
871,-8.8,0.01,282.3
872,-8.1,0.01,282.5
873,-9.0,0.01,282.6
874,-8.0,0.01,282.8
875,-8.6,0.01,283.0
876,-9.0,0.01,283.1
877,-9.0,0.01,283.2
878,-7.7,0.01,283.5
879,-8.3,0.01,283.6
880,-6.7,0.01,284.0
881,-9.0,0.01,284.1
882,-9.1,0.01,284.2
883,-8.4,0.01,284.4
884,-8.9,0.01,284.5
885,-8.2,0.01,284.7
886,-8.4,0.01,284.9
887,-7.9,0.01,285.1
888,-8.5,0.01,285.3
889,-8.5,0.01,285.5
890,-7.9,0.01,285.7
891,-9.1,0.01,285.8
892,-9.1,0.01,285.9
893,-4.9,0.01,286.4
894,-8.5,0.01,286.6
895,-8.9,0.01,286.7
896,-9.0,0.01,286.8
897,-9.0,0.01,286.9
898,-9.0,0.01,287.1
899,3.4,0.01,287.4
900,-6.6,0.01,287.8
901,-9.0,0.01,287.9
902,-6.5,0.01,288.3
903,-8.2,0.01,288.5
904,-9.1,0.01,288.6
905,-8.4,0.01,288.8
906,-8.2,0.01,289.0
907,-6.8,0.01,289.3
908,-8.3,0.01,289.5
909,-9.1,0.01,289.6
910,-8.1,0.01,289.8
911,-7.1,0.01,290.1
912,-9.1,0.01,290.2
913,-9.1,0.01,290.4
914,-8.2,0.01,290.5
915,-8.4,0.01,290.7
916,-9.0,0.01,290.8
917,-9.1,0.01,290.9
918,-8.0,0.01,291.2
919,-9.1,0.01,291.3
920,-9.1,0.01,291.4
921,-7.7,0.01,291.6
922,-5.2,0.01,292.1
923,-8.5,0.01,292.3
